lemmatized_cue,cue,n
suggérer,suggérer,34384
suggérer,suggèrent,NA
suggérer,suggéré,NA
suggérer,suggérait,NA
suggérer,suggéraient,NA
suggérer,suggéra,NA
suggérer,suggérant,NA
tenir,tient,NA
tenir,tenir,5335
tenir,tiennent,NA
tenir,tenu,NA
tenir,tenait,NA
tenir,tenaient,NA
tenir,tint,NA
tenir,tenant,NA
tenter,tente,1173
tenter,tenter,1897
tenter,tentent,NA
tenter,tenté,27
tenter,tentait,NA
tenter,tentaient,NA
tenter,tenta,NA
tenter,tentant,82
tonner,tonne,128
tonner,tonner,906
tonner,tonnent,NA
tonner,tonné,NA
tonner,tonnait,NA
tonner,tonnaient,2
tonner,tonna,NA
tonner,tonnant,1
traduire,traduit,NA
traduire,traduire,1240
traduire,traduisent,NA
traduire,traduisait,NA
traduire,traduisaient,NA
traduire,traduisit,NA
traduire,traduisant,NA
trancher,tranche,51
trancher,trancher,1526
trancher,tranchent,NA
trancher,tranché,1934
trancher,tranchait,NA
trancher,tranchaient,NA
trancher,trancha,NA
trancher,tranchant,NA
trouver,trouve,37168
trouver,trouver,61388
trouver,trouvent,NA
trouver,trouvé,NA
trouver,trouvait,NA
trouver,trouvaient,NA
trouver,trouva,NA
trouver,trouvant,NA
tweeter,tweete,7
tweeter,tweeter,78
tweeter,tweetent,NA
tweeter,tweeté,1321
tweeter,tweetait,NA
tweeter,tweetaient,NA
tweeter,tweeta,NA
tweeter,tweetant,NA
témoigner,témoigne,24454
témoigner,témoigner,19947
témoigner,témoignent,NA
témoigner,témoigné,NA
témoigner,témoignait,NA
témoigner,témoignaient,NA
témoigner,témoigna,NA
témoigner,témoignant,NA
valoir,vaut,1
valoir,valoir,57696
valoir,valait,NA
valoir,valent,NA
valoir,valaient,NA
valoir,valut,NA
valoir,vaudra,NA
valoir,valant,520
valoir,valu,158
valoir,vaudront,NA
venir,viens,NA
venir,venir,7362
venir,viennent,NA
venir,venu,NA
venir,venait,NA
venir,venaient,NA
venir,vint,1
venir,venant,96
voir,vois,NA
voir,voir,5533
voir,voient,NA
voir,vu,10
voir,voyait,NA
voir,voyaient,NA
voir,vit,1
voir,voyant,69
vouloir,veut,9
vouloir,vouloir,119998
vouloir,veulent,2
vouloir,voulu,NA
vouloir,voulait,NA
vouloir,voulaient,NA
vouloir,voulut,NA
vouloir,voulant,NA
écrire,écrit,2
écrire,écrire,148545
écrire,écrivent,NA
écrire,écrivait,NA
écrire,écrivaient,NA
écrire,écrivant,NA
écrire,écrivit,NA
écrire,écrite,2558
énoncer,énonce,NA
énoncer,énoncer,3128
énoncer,énoncent,NA
énoncer,énoncé,NA
énoncer,énonçait,NA
énoncer,énonçaient,5
énoncer,énonça,NA
énoncer,énonçant,172
évoquer,évoque,19442
évoquer,évoquer,41410
évoquer,évoquent,NA
évoquer,évoqué,NA
évoquer,évoquait,NA
évoquer,évoquaient,NA
évoquer,évoqua,NA
évoquer,évoquant,NA
être,est,NA
être,être,126721
être,sont,NA
être,été,NA
être,était,NA
être,étaient,NA
être,soit,116400
être,serait,NA
être,fut,NA
être,sera,29
être,étant,NA
être,étion,2180
être,êtes,1567
